Brand,Name,Picture,Year,Categorys,Note,,
Acqua di Parma,Magnolia Nobile Special Edition,o.14629.jpg,2012,"[""citrus"", ""floral"", ""white floral"", ""fresh"", ""rose"", ""woody""]","{""middle"": [""Jasmine"", ""Tuberose"", ""Rose"", ""Magnolia""], ""base"": [""Vetiver"", ""Sandalwood"", ""Patchouli"", ""Vanilla""], ""top"": [""Bergamot"", ""Citruses"", ""Cedar""]}","[""0"", ""1"", ""0"", ""0"", ""0""]","[""0"", ""3"", ""1"", ""2""]"
Acqua di Parma,Magnolia Nobile Special Edition 2016,o.35351.jpg,2016,"[""citrus"", ""floral"", ""white floral"", ""woody"", ""aromatic"", ""rose""]","{""middle"": [""Magnolia"", ""Rose"", ""Tuberose"", ""Jasmine""], ""base"": [""Sandalwood"", ""Patchouli"", ""Vetiver"", ""Vanilla""], ""top"": [""Bergamot"", ""Lemon"", ""Cedar""]}","[""0"", ""1"", ""0"", ""0"", ""0""]","[""0"", ""1"", ""0"", ""1""]"
Acqua di Parma,Peonia Nobile,o.40154.jpg,2016,"[""rose"", ""floral"", ""fresh spicy"", ""sweet"", ""fresh""]","[""Black Pepper"", ""Raspberry"", ""Peony"", ""Geranium"", ""Turkish Rose"", ""Freesia"", ""Amber"", ""Patchouli"", ""Musk""]","[""1"", ""3"", ""2"", ""5"", ""0""]","[""1"", ""10"", ""3"", ""3""]"
Acqua di Parma,Profumo Eau de Parfum,o.6909.jpg,2009,"[""woody"", ""balsamic"", ""rose"", ""yellow floral"", ""musky"", ""floral""]","{""middle"": [""Jasmine"", ""Bulgarian Rose"", ""Labdanum""], ""base"": [""Musk"", ""Sandalwood"", ""Vetiver"", ""Patchouli""], ""top"": [""Bergamot"", ""Ylang-Ylang"", ""Peony""]}","[""0"", ""0"", ""3"", ""5"", ""10""]","[""0"", ""7"", ""11"", ""8""]"
Acqua di Parma,Rosa Nobile,o.26577.jpg,2014,"[""rose"", ""floral"", ""musky"", ""fresh"", ""citrus"", ""woody""]","{""middle"": [""Rose"", ""Lily-of-the-Valley"", ""Peony"", ""Violet""], ""base"": [""Cedar"", ""Ambergris"", ""Musk""], ""top"": [""Mandarin Orange"", ""Bergamot"", ""Pepper""]}","[""4"", ""4"", ""27"", ""9"", ""3""]","[""10"", ""33"", ""11"", ""5""]"
Acqua di Parma,Rosa Nobile Edizione Speciale,o.34647.jpg,2015,"[""floral"", ""rose"", ""citrus"", ""woody"", ""powdery""]","{""middle"": [""Rose"", ""Lily-of-the-Valley"", ""Peony"", ""Violet""], ""base"": [""Cedar"", ""Ambergris"", ""Musk""], ""top"": [""Mandarin Orange"", ""Bergamot"", ""Pepper""]}","[""1"", ""2"", ""0"", ""0"", ""1""]","[""0"", ""1"", ""0"", ""1""]"
Acqua di Parma,Acqua Nobile Gelsomino,o.17384.jpg,2013,"[""citrus"", ""white floral"", ""green"", ""aromatic"", ""fresh spicy""]","[""Bergamot"", ""Mandarin Orange"", ""Lemon"", ""Neroli"", ""Petitgrain"", ""Jasmine""]","[""2"", ""3"", ""8"", ""2"", ""3""]","[""6"", ""13"", ""6"", ""3""]"
Acqua di Parma,Acqua Nobile Iris,o.17487.jpg,2013,"[""citrus"", ""powdery"", ""white floral"", ""floral"", ""woody""]","{""middle"": [""Neroli"", ""violet leaves"", ""iris"", ""Orange Blossom""], ""base"": [""Vanilla"", ""Musk""], ""top"": [""Citron"", ""Grapefruit"", ""Mandarin Orange""]}","[""2"", ""3"", ""9"", ""3"", ""2""]","[""9"", ""10"", ""2"", ""6""]"
Acqua di Parma,Acqua Nobile Magnolia,o.17486.jpg,2013,"[""citrus"", ""floral"", ""white floral"", ""green"", ""fresh spicy"", ""fresh""]","{""middle"": [""Magnolia"", ""Lily-of-the-Valley"", ""Freesia"", ""Jasmine"", ""Orange Blossom""], ""base"": [""Vanilla"", ""Musk""], ""top"": [""Bergamot"", ""Mandarin Orange"", ""Citron"", ""Lemon"", ""Neroli""]}","[""9"", ""4"", ""5"", ""0"", ""2""]","[""14"", ""8"", ""0"", ""2""]"
Acqua di Parma,Acqua Nobile Rosa,o.29971.jpg,2015,"[""rose"", ""citrus"", ""floral"", ""fresh spicy"", ""musky""]","{""middle"": [""Black Pepper"", ""Rose"", ""Damask Rose"", ""Freesia"", ""Cyclamen""], ""base"": [""Ambergris"", ""Musk""], ""top"": [""Bergamot"", ""Mandarin Orange"", ""Black Currant""]}","[""1"", ""0"", ""8"", ""2"", ""0""]","[""1"", ""7"", ""2"", ""5""]"
